,course_id,subject_id,credit,course_name
321,38513,1,1,사이버보안글로벌필드트레이닝I
322,38514,1,1,사이버보안글로벌필드트레이닝II
323,38515,1,1,사이버보안글로벌필드트레이닝III
324,38504,1,1,사이버보안단기인턴십I
325,38505,1,1,사이버보안단기인턴십II
326,38506,1,1,사이버보안단기인턴십III
327,38507,1,3,사이버보안중기인턴십I
328,38508,1,3,사이버보안중기인턴십II
329,38509,1,3,사이버보안중기인턴십III
330,37455,1,1,해외재능기부현장실습
331,*39184,1,9,사이버보안산학실무설계 IV
332,38510,1,3,사이버보안자기설계학습I
333,38511,1,3,사이버보안자기설계학습II
334,20471,1,3,데이터베이스
335,20477,1,3,운영체제
336,20497,1,3,컴퓨터알고리즘
337,20472,1,3,소프트웨어공학
338,36510,1,3,가상현실
339,35294,1,3,암호론
340,36511,1,3,빅데이터응용
341,37270,1,3,클라우드컴퓨팅
342,38653,1,2,글로벌공학교육실습
343,37842,1,3,"캄보디아교육,환경,문화의이해"
344,G17708,1,3,블록체인특론
345,G17709,1,3,시스템보안특론
346,G17710,1,3,차세대보안특론
347,G17707,1,3,침입탐지시스템
348,G17711,1,3,금융IT보안
349,G17705,1,3,암호학과증명가능한안전성
350,G17712,1,3,정보보호컨설팅
