,HSSU300203R(1971081),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Date :,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2022/10/09
0,,,,,,,,,,,,,,,Page :,,,,,1 of 10
1,2019학년도 교과과정안내,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,엘텍공과대학   학부/학과 : 미래사회공학부   전공 : 건축학   출력구분 : 주전공,,,,,,,,,,,,,,,,,,,
5,졸업학점-신입,,졸업학점-편입,,졸업평균평점,,영어강의이수학점,,,인문학관련교양이수학점,,,,,,SW교과목이수학점,타과인정제한학점,,,심화전공설치여부
6,148,,88.8,,1.7,,18,,,8,,,,,,-,6,,,미설치
7,,,,,,,,,,,,,,,,,,,,
8,구분,"영역명
(학수번호)
*:신설교과목",,교과목명,,,,"이수권장
학년","설정
학기",,시간,학점,"필수
여부","학사
편입생
제외여부",,개설학과,,"2022학년
2학기
개설여부",비고,
9,,,,,,,,,,,,,,,,,,,"(재):재수강인정과목
(선):선수과목
(타):타전공인정교과목",
89,,11113,,여성의몸과창조적움직임,,,,,"1,2",,3,3,,,,여성,,Y,,
90,,10097,,연극의이론과실제,,,,,"1,2",,3,3,,,,영어영문학부,,Y,,
91,,11110,,예술가와그의시대,,,,,"1,2",,3,3,,,,이화인문과학원,,,,
92,,10100,,예술과사상,,,,,"1,2",,3,3,,,,철학과,,,,
93,,11055,,옛시와그림의만남,,,,,"1,2",,3,3,,,,국어국문학과,,,,
94,,11075,,창조와상상의기술,,,,,"1,2",,3,3,,,,불어불문학과,,,,
95,,11035,,"퍼포먼스인문학: 제의,놀이,연극",,,,,"1,2",,3,3,,,,영어영문학부,,,,
96,,10892,,"표현,예술,그리고시대정신",,,,,"1,2",,3,3,,,,독어독문학과,,,,
97,,10152,,한국미술의이해,,,,,"1,2",,3,3,,,,미사,,Y,,
98,,11333,,"한국사와상상력,스토리텔링",,,,,"1,2",,3,3,,,,사학과,,Y,,
99,,10883,,한국의문화공간과예술,,,,,"1,2",,3,3,,,,국어국문학과,,,,
100,,10165,,현대미술사,,,,,"1,2",,3,3,,,,미사,,Y,,
101,,11330,,Reading American Popular Culture in the Digital Age,,,,,1,,3,3,,,,호크마,,,,
102,,11265,,음악과건강,,,,,1,,3,3,,,,음악치료학과(대학원),,Y,,
103,,11116,,Introduction to World Music and Culture,,,,,2,,3,3,,,,국제학과(국제대학원),,,,
104,,      #융복합교양(역사와철학),,[1과목 3학점 이수],,,,,,,,,,Y,,,,,,
105,,11190,,The Art of Thinking,,,,,"1,2",,3,3,,,,이화인문과학원,,,,
106,,10545,,근대일본과동아시아,,,,,"1,2",,3,3,,,,사학과,,Y,,
107,,11046,,동서양의인간이해,,,,,"1,2",,3,3,,,,철학과,,,,
108,,10034,,동양철학의이해,,,,,"1,2",,3,3,,,,철학과,,Y,,
109,,10769,,모던/포스트모던문화읽기,,,,,"1,2",,3,3,,,,독어독문학과,,,,
110,,11056,,문화로읽는한국사,,,,,"1,2",,3,3,,,,사학과,,,,
111,,11185,,문화와예술을통해본르네상스역사,,,,,"1,2",,3,3,,,,사학과,,Y,,
112,,10772,,여성과사회정의,,,,,"1,2",,3,3,,,,여성,,Y,,
113,,11054,,연어프로젝트: 한국여성나의뿌리를찾아서,,,,,"1,2",,3,3,,,,국어국문학과,,Y,,
114,,10108,,인간과종교,,,,,"1,2",,3,3,,,,기독교학과,,Y,,
115,,11041,,인간과철학적사유,,,,,"1,2",,3,3,,,,철학과,,Y,,
116,,11293,,인물로본중국의역사,,,,,"1,2",,3,3,,,,사학과,,Y,,
117,,10581,,인물로읽는한국사,,,,,"1,2",,3,3,,,,이화인문과학원,,Y,,
118,,11078,,젠더와역사,,,,,"1,2",,3,3,,,,여성,,Y,,
119,,10767,,종교와문화,,,,,"1,2",,3,3,,,,기독교학과,,Y,,
120,,11057,,주제로살펴보는서양근현대사,,,,,"1,2",,3,3,,,,사학과,,Y,,
121,,10544,,중국의역사와문화,,,,,"1,2",,3,3,,,,사학과,,Y,,
122,,11294,,질병치료와백신의역사,,,,,"1,2",,3,3,,,,사학과,,Y,,
123,,11189,,철학의은유들,,,,,"1,2",,3,3,,,,이화인문과학원,,Y,,
124,,11045,,패러다임전환과비판이론,,,,,"1,2",,3,3,,,,철학과,,Y,,
125,,10149,,한국근현대사,,,,,"1,2",,3,3,,,,사학과,,Y,,
126,,11058,,한국사의새로운이해,,,,,"1,2",,3,3,,,,사학과,,Y,,
127,,11366,,한국의문화유산역사여행,,,,,"1,2",,3,3,,,,이화인문과학원,,Y,,
128,,11186,,Evolutionary Origin of Humans,,,,,1,,3,3,,,,생명,,,,
129,,11295,,인공지능시대의과학과종교,,,,,1,,3,3,,,,기독교학과,,,,
130,,      #융복합교양(인간과사회),,[1과목 3학점 이수],,,,,,,,,,Y,,,,,,
131,,10932,,건축으로읽는사회문화사,,,,,"1,2",,3,3,,,,건축학,,,,
132,,11360,,ICT융복합복지와법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,,,
133,,10011,,가족건강과간호,,,,,"1,2",,3,3,,,,간호,,Y,,
134,,10013,,경영과사회,,,,,"1,2",,3,3,,,,경영학부,,,,
135,,10913,,글로벌시대의다문화사회,,,,,"1,2",,3,3,,,,사회학과,,,,
136,,10914,,글로컬시대의아시아여성,,,,,"1,2",,3,3,,,,여성,,Y,,
137,,10091,,노동과젠더,,,,,"1,2",,3,3,,,,여성,,Y,,
138,,11332,,도시⋅공간문화로읽는한국사,,,,,"1,2",,3,3,,,,사학과,,Y,,
139,,10886,,동양고전의현대적이해,,,,,"1,2",,3,3,,,,중어중문학과,,,,
140,,11292,,모방과인간,,,,,"1,2",,3,3,,,,독어독문학과,,,,
141,,11193,,법과젠더,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,,,
142,,10549,,북한정치의이해,,,,,"1,2",,3,3,,,,북한,,Y,,
143,,10548,,북한주민의문화와생활,,,,,"1,2",,3,3,,,,북한,,Y,,
144,,10929,,브레인스펙트럼,,,,,"1,2",,3,3,,,,생명,,,,
145,,11351,,삶을위한멘탈코칭,,,,,"1,2",,3,3,,,,체육과학부,,Y,,
146,,10573,,생명윤리와법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,Y,,
147,,10074,,성문화연구,,,,,"1,2",,3,3,,,,여성,,Y,,
148,,10081,,시민생활과법,,,,,"1,2",,3,3,,,,법학과(법학전문대학원),,Y,,
149,,10094,,여성학,,,,,"1,2",,3,3,,,,여성,,Y,,
150,,11089,,여행과지리:글로벌화의지역탐색,,,,,"1,2",,3,3,,,,사교,,,,
151,,10908,,영상이미지와젠더,,,,,"1,2",,3,3,,,,이화인문과학원,,,,
152,,10904,,우리사회의문제와쟁점찾기,,,,,"1,2",,3,3,,,,사회복지학과,,Y,(재)인간발달과문화다양성(10903),
153,,11358,,인간관계심리,,,,,"1,2",,3,3,,,,심리학과,,Y,,
154,,10109,,인간발달과가족,,,,,"1,2",,3,3,,,,아동,,Y,,
155,,10903,,인간발달과문화다양성,,,,,"1,2",,3,3,,,,사회복지학과,,Y,(재)우리사회의문제와쟁점찾기(10904),
