,curr_id,standard_name,course_id
234,HSSU300203R,-기본이수(휴기바 융합기계공학),38563
235,HSSU300203R,-기본이수(휴기바 융합기계공학),38572
236,HSSU300203R,-기본이수(휴기바 융합기계공학),38593
237,HSSU300203R,-기본이수(휴기바 융합기계공학),38589
238,HSSU300203R,-기본이수(휴기바 융합기계공학),38581
239,HSSU300203R,-기본이수(휴기바 융합기계공학),38609
240,HSSU300203R,-기본이수(휴기바 융합기계공학),38582
241,HSSU300203R,-기본이수(휴기바 의생명공학),38584
242,HSSU300203R,-기본이수(휴기바 의생명공학),38600
243,HSSU300203R,-기본이수(휴기바 의생명공학),38585
244,HSSU300203R,-기본이수(휴기바 의생명공학),38611
245,HSSU300203R,-기본이수(휴기바 의생명공학),38597
246,HSSU300203R,-기본이수(휴기바 의생명공학),38612
247,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38605
248,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38570
249,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38569
250,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38614
251,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38604
252,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38613
253,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38660
254,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38603
255,HSSU300203R,-기본이수(휴기바 바이오데이터공학),20471
256,HSSU300203R,-기본이수(휴기바 바이오데이터공학),20497
257,HSSU300203R,-기본이수(휴기바 바이오데이터공학),20480
258,HSSU300203R,-기본이수(휴기바 바이오데이터공학),38428
